name,longitude,latitude
EDIFICIO POLIVALENTE-PORTÁTIL 5,-13.848,28.502
SAN AGUSTÍN,-15.54188043,27.77259736
PLAYA DEL INGLÉS,-15.5639,27.7637
CASTILLO DEL ROMERAL,-15.461157,27.801278
CAMPING TEMISAS-STA LUCÍA DE T.,-15.48833,27.89833
ITC,-15.4276,27.8155
COSTA TEGUISE,-13.51655,28.99031
LAS CALETAS-TEGUISE,-13.51403,28.98287
PEDRO LEZCANO,-15.416086,28.029852
PARQUE DE SAN JUAN-TELDE,-15.411851,28.003645
LA LOMA-TELDE,-15.414657,28.026317
LALÍN,-8.1071,42.6563
MOLLABAO,-8.6569,42.4219
AREEIRO,-8.6703,42.4047
CAMPOLONGO,-8.643995,42.425932
CAMPELO,-8.6769,42.4275
PONTEAREAS,-8.5239,42.1814
ARENAL,-8.7421,42.219
ESTACION 1 (ESTE),-8.73694,42.21028
ESTACION 2 (OESTE),-8.747,42.2029
LOPE DE VEGA,-8.7111,42.2224
EL MAILLO,-6.22388888,40.56972222
SALAMANCA 5,-5.6653,40.9792
SALAMANCA 6,-5.63972222,40.96083333
SALAMANCA-B(A)P,-5.6518,40.9615
LA HIDALGA-ARAFO,-16.39972,28.33722
SAN MIGUEL DE TAJAO,-16.471625,28.111373
GALLETAS,-16.655913,28.007738
BUZANADA,-16.653,28.0726
